title,abstract,true_group,prediccion_group,proba_cardiovascular,proba_hepatorenal,proba_neurological,proba_oncological
"Adrenoleukodystrophy: survey of 303 cases: biochemistry, diagnosis, and therapy.","Adrenoleukodystrophy ( ALD ) is a genetically determined disorder associated with progressive central demyelination and adrenal cortical insufficiency . All affected persons show increased levels of saturated unbranched very-long-chain fatty acids , particularly hexacosanoate ( C26  0 ) , because of impaired capacity to degrade these acids . This degradation normally takes place in a subcellular organelle called the peroxisome , and ALD , together with Zellwegers cerebrohepatorenal syndrome , is now considered to belong to the newly formed category of peroxisomal disorders . Biochemical assays permit prenatal diagnosis , as well as identification of most heterozygotes . We have identified 303 patients with ALD in 217 kindreds . These patients show a wide phenotypic variation . Sixty percent of patients had childhood ALD and 17 % adrenomyeloneuropathy , both of which are X-linked , with the gene mapped to Xq28 . Neonatal ALD , a distinct entity with autosomal recessive inheritance and points of resemblance to Zellwegers syndrome , accounted for 7 % of the cases . Although excess C26  0 in the brain of patients with ALD is partially of dietary origin , dietary C26  0 restriction did not produce clear benefit . Bone marrow transplant lowered the plasma C26  0 level but failed to arrest neurological progression . .",oncological,oncological,0.037234332,0.009858301,0.49467406,0.9801269
The interpeduncular nucleus regulates nicotine's effects on free-field activity.,"Partial lesions were made with kainic acid in the interpeduncular nucleus of the ventral midbrain of the rat. Compared with sham-operated controls, lesions significantly (p < 0.25) blunted the early (<60 min) free-field locomotor hypoactivity caused by nicotine (0.5 mg kg(-1), i.m.), enhanced the later (60-120 min) nicotine-induced hyperactivity, and raised spontaneous nocturnal activity. Lesions reduced the extent of immunohistological staining for choline acetyltransferase in the interpeduncular nucleus (p <0.025), but not for tyrosine hydroxylase in the surrounding catecholaminergic A10 region. We conclude that the interpeduncular nucleus mediates nicotinic depression of locomotor activity and dampens nicotinic arousal mechanisms located elsewhere in the brain.",neurological,neurological,0.0071027004,0.27523497,0.9322755,0.1965735
guillain-barre syndrome pathways in leukemia,"Hypothesis: statins improves stroke outcomes via migraine pathways. Methods: cross-sectional trial with 285 adult population, measuring astrocytoma and palsy. Results: improved patient outcomes. Conclusion: potential therapeutic benefits.",oncological,neurological,0.01207114,0.4505678,0.84483516,0.39659983
"Potential therapeutic use of the selective dopamine D1 receptor agonist, A-86929: an acute study in parkinsonian levodopa-primed monkeys.","The clinical utility of dopamine (DA) D1 receptor agonists in the treatment of Parkinson's disease (PD) is still unclear. The therapeutic use of selective DA D1 receptor agonists such as SKF-82958 (6-chloro-7,8-dihydroxy-3-allyl-1-phenyl-2,3,4,5-tetrahydro-1H-3-benzaze pine hydrobromide) and A-77636 ([1R, 3S] 3-[1'-admantyl]-1-aminomethyl-3,4-dihydro-5,6-dihydroxy-1H-2-benzo pyran hydrochloride) seems limited because of their duration of action, which is too short for SKF-82958 (< 1 hr) and too long for A-77636 (> 20 hr, leading to behavioral tolerance). We therefore conducted the present acute dose-response study in four 1-methyl-4-phenyl-1,2,3,6-tetrahydropyridine (MPTP)-exposed cynomolgus monkeys primed to exhibit levodopa-induced dyskinesias to evaluate the locomotor and dyskinetic effects on challenge with four doses (from 0.03 to 1.0 mg/kg) of A-86929 ([-]-[5aR,11bS]-4,5,5a,6,7,11b-hexahydro-2-propyl-3-thia-5-+ ++azacyclopent-1- ena[c]phenathrene-9-10-diol), a selective and full DA D1-like receptor agonist with an intermediate duration of action. Levodopa and the DA D2-like receptor agonist, LY-171555 ([4aR-trans]-4,4a,5,6,7,8,8a,9-o-dihydro-5n-propyl-2H-pyrazo lo-3-4-quinoline hydrochloride) were also used for comparison. Acute administration of A-86929 was as efficacious in alleviating MPTP-induced parkinsonism as levodopa and LY-171555, but was less likely to reproduce the levodopa-induced dyskinesias in these animals than with either LY-171555 or subsequent challenge of levodopa. Selective stimulation of the DA D1 receptor may provide better integration of neural inputs transmitted to the internal segment of the globus pallidus (referred to as the basal ganglia output) compared with levodopa and selective DA D2 receptor agonist. Potent DA D1 receptor agents with an intermediate duration of efficacy such as A-86929 (approximately 4 hr at higher doses tested) are potential therapeutic tools in PD and merit further attention.",neurological,neurological,0.117573686,0.1671802,0.8022445,0.04144433
The basal ganglia connection in epilepsy,"Background: dementia affects cardiac patients worldwide, particularly involving reticular formation and epinephrine. Methods: We conducted a cross-sectional study to evaluate beta-blockers in 210 patients, examining neuron parameters. Results: favorable safety profile. Conclusion: therapeutic innovation.",neurological,neurological,0.051153786,0.031096356,0.9957362,0.09114517
septum and peripheral artery disease: vascular insights,"Purpose: This observational study examined calcium channel blockers for hypertension in cancer patients. The investigation included analysis of atherosclerosis, aortic valve, and regurgitation. Methods: 319 participants were included. Results: enhanced therapeutic response. Implications: cost-effectiveness implications.","cardiovascular, neurological",neurological,0.11300604,0.0068383184,0.997119,0.007677448
Hypertensive response during dobutamine stress echocardiography.,"Among 3,129 dobutamine stress echocardiographic studies, a hypertensive response, defined as systolic blood pressure (BP) > or = 220 mm Hg and/or diastolic BP > or = 110 mm Hg, occurred in 30 patients (1%). Patients with this response more often had a history of hypertension and had higher resting systolic and diastolic BP before dobutamine infusion.",hepatorenal,hepatorenal,0.021229323,0.8329809,0.056937702,0.34068963
Levodopa-induced dyskinesia and thalamotomy.,"Levodopa-induced dyskinesia of the limbs in thirteen cases of Parkinsonism, which was choreic, ballistic or dystonic in type, was alleviated almost completely by stereotaxic surgery using a microelectrode technique for the ventralis oralis anterior and posterior nuclei of the thalamus, but much less by the ventralis intermedius nucleus. Control of levodopa-induced dyskinesias by thalamic lesions in the course of routine treatment of Parkinsonism is discussed.",neurological,neurological,0.012704219,0.39869148,0.95851994,0.011410833
corticosteroids and ventricular tachycardia: brain insights,"Purpose: This longitudinal study examined aspirin for hypertension in adult population. The investigation included analysis of breast cancer, gaba, and myelodysplastic syndrome. Methods: 345 participants were included. Results: reduction in adverse events. Implications: clinical practice guidelines.",cardiovascular,cardiovascular,0.9991568,0.3151134,0.0035095783,0.008910364
tia and epilepsy: vascular insights,"Hypothesis: ACE inhibitors improves cancer outcomes via atrial fibrillation pathways. Methods: randomized controlled trial with 162 cancer patients, measuring hemodialysis and endothelial. Results: positive treatment response. Conclusion: clinical practice guidelines.","neurological, oncological",Ninguno,0.14555424,0.3698794,0.46020833,0.035121292
